Mode,ModeName,Flows,TotalRecv,Dispatched,Dropped,DropRate(%),P1_BusyMatch,P2_IdleReuse,P3_FreshIdle,P4_LRU,ForceFlush
0,Dynamic,2,1150,1150,0,0,815,204,131,0,0
0,Dynamic,4,2300,2300,0,0,1662,405,233,0,0
0,Dynamic,6,3450,3450,0,0,2486,605,359,0,0
0,Dynamic,8,4600,4600,0,0,3427,841,263,69,69
0,Dynamic,10,5750,5750,0,0,4126,1065,486,73,73
0,Dynamic,12,6900,6900,0,0,4919,1237,655,89,89
1,NoPreemption,2,1150,1150,0,0,747,235,168,0,0
1,NoPreemption,4,2300,2300,0,0,1544,466,290,0,0
1,NoPreemption,6,3450,3450,0,0,2274,696,480,0,0
1,NoPreemption,8,4600,4600,0,0,3148,906,546,0,0
1,NoPreemption,10,5750,5566,184,3.2,3706,1083,777,0,0
1,NoPreemption,12,6900,6342,558,8.1,4249,1294,799,0,0
2,RoundRobin,2,1150,1150,0,0,0,792,358,0,33
2,RoundRobin,4,2300,2300,0,0,0,1620,680,0,71
2,RoundRobin,6,3450,3450,0,0,0,2465,985,0,100
2,RoundRobin,8,4600,4600,0,0,0,3182,1418,0,141
2,RoundRobin,10,5750,5704,46,0.8,0,3951,1753,0,467
2,RoundRobin,12,6900,6735,165,2.4,0,4846,1889,0,530
3,Static,2,1150,1150,0,0,453,407,290,0,0
3,Static,4,2300,2300,0,0,899,801,600,0,0
3,Static,6,3450,3450,0,0,1345,1208,897,0,0
3,Static,8,4600,4600,0,0,1857,1562,1181,0,0
3,Static,10,5750,5423,327,5.7,2197,1898,1328,0,0
3,Static,12,6900,6052,848,12.3,2380,2142,1530,0,0
