Mode,ModeName,SendInterval,TotalRecv,Dispatched,Dropped,DropRate(%)
0,Dynamic,0.1s,250,250,0,0
0,Dynamic,0.02s,1250,1250,0,0
0,Dynamic,0.005s,5000,5000,0,0
0,Dynamic,0.002s,12500,12500,0,0
0,Dynamic,0.001s,25000,25000,0,0
1,NoPreemption,0.1s,250,250,0,0
1,NoPreemption,0.02s,1250,1250,0,0
1,NoPreemption,0.005s,5000,4940,60,1.2
1,NoPreemption,0.002s,12500,12100,400,3.2
1,NoPreemption,0.001s,25000,23550,1450,5.8
2,RoundRobin,0.1s,250,250,0,0
2,RoundRobin,0.02s,1250,1250,0,0
2,RoundRobin,0.005s,5000,4980,20,0.4
2,RoundRobin,0.002s,12500,12400,100,0.8
2,RoundRobin,0.001s,25000,24525,475,1.9
3,Static,0.1s,250,250,0,0
3,Static,0.02s,1250,1247,3,0.3
3,Static,0.005s,5000,4845,155,3.1
3,Static,0.002s,12500,11788,712,5.7
3,Static,0.001s,25000,22650,2350,9.4
