Mode,ModeName,NumQueues,Rho,TotalRecv,Dispatched,Dropped,DropRate(%),P4_LRU,ForceFlush
0,Dynamic,2,5.0,5750,5681,69,1.2,1847,1847
0,Dynamic,4,2.5,5750,5750,0,0,412,412
0,Dynamic,6,1.67,5750,5750,0,0,86,86
0,Dynamic,8,1.25,5750,5750,0,0,74,74
1,NoPreemption,2,5.0,5750,3307,2443,42.5,0,0
1,NoPreemption,4,2.5,5750,4853,897,15.6,0,0
1,NoPreemption,6,1.67,5750,5474,276,4.8,0,0
1,NoPreemption,8,1.25,5750,5566,184,3.2,0,0
2,RoundRobin,2,5.0,5750,5250,500,8.7,0,409
2,RoundRobin,4,2.5,5750,5572,178,3.1,0,447
2,RoundRobin,6,1.67,5750,5699,51,0.9,0,461
2,RoundRobin,8,1.25,5750,5704,46,0.8,0,449
3,Static,2,5.0,5750,2973,2777,48.3,0,0
3,Static,4,2.5,5750,4439,1311,22.8,0,0
3,Static,6,1.67,5750,5279,471,8.2,0,0
3,Static,8,1.25,5750,5423,327,5.7,0,0
