P0: 附件5
P1: 重要国际会议参考目录
P2: 参照中国计算机学会发布的《中国计算机学会推荐国际学术会议和期刊目录》中的A类国际学术会议目录，以及清华大学发布的《重要国际会议目录》中信息学科领域的顶尖级国际会议与A类会议目录，形成《重要国际会议参考目录》如下：

--- Table 0 (rows=391) ---
0: ['序号', '会议名称']
1: ['1', 'AAAI Conference on Artificial Intelligence']
2: ['2', 'AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment']
3: ['3', 'Academy of Management']
4: ['4', 'ACM Conf on Meas. & Modelling of Comp Sys']
5: ['5', 'ACM Conference on Computer and Communications Security']
6: ['6', 'ACM Conference on Computer Supported Cooperative Work and Social Computing']
7: ['7', 'ACM Conference on Economics and Computation']
8: ['8', 'ACM Conference on Electronic Commerce']
9: ['9', 'ACM Conference on Embedded Networked Sensor Systems']
10: ['10', 'ACM Conference on Human Factors in Computing Systems']
11: ['11', 'ACM Conference on Management of Data']
12: ['12', 'ACM Conference on the Foundations of Software Engineering']
13: ['13', 'ACM Designing Interactive Systems Conference']
14: ['14', 'ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication']
15: ['15', 'ACM International Conference on Emerging Networking Experiments and Technologies']
16: ['16', 'ACM International Conference on Knowledge Discovery and Data Mining']
17: ['17', 'ACM International Conference on Mobile Computing and Networking']
18: ['18', 'ACM International Conference on Multimedia']
19: ['19', 'ACM International Conference on Research and Development in Information Retrieval']
20: ['20', 'ACM International Conference on the applications, technologies, architectures, and protocols for computer communication']
21: ['21', 'ACM International Conference on the Foundations of Software Engineering']
22: ['22', 'ACM International Conference on Ubiquitous Computing']
23: ['23', 'ACM International Conference on Web Search and Data Mining']
24: ['24', 'ACM international joint conference on Pervasive and Ubiquitous Computing']
25: ['25', 'ACM International Symposium on Field-Programmable Gate Arrays']
26: ['26', 'ACM Knowledge Discovery and Data Mining']
27: ['27', 'ACM SIGGRAPH Annual Confernece']
28: ['28', 'ACM SIGGRAPH International and Exhibition on Computer Graphics and Interactive Techniques']
29: ['29', 'ACM SIGGRAPH International Conference and Exhibition on Computer Graphics and Interactive techniques']
30: ['30', 'ACM SIGGRAPH(and ACM SIGGRAPH ASIA) International Conference and Exhibition on Computer Graphics and Interactive techniques']
31: ['31', 'ACM SIGIR Conference on Research and Development in Information Retrieval']
32: ['32', 'ACM SIGKDD Conference on Knowledge Discovery and Data Mining']
33: ['33', 'ACM SIGMOD Conference']
34: ['34', 'ACM SIGMOD International Conference on Management of Data']
35: ['35', 'ACM SIGMOD/PODS International Conference on Management of Data']
36: ['36', 'ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems']
37: ['37', 'ACM SIGOPS Annual Technical Conference']
38: ['38', 'ACM SIGPLAN - SIGACT Symposium on Principles of Programming Languages']
39: ['39', 'ACM SIGPLAN Conference on Programming Language Design and Implementation']
40: ['40', 'ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming']
41: ['41', 'ACM SIGPLAN Symposium on Programming Language Design & Implementation']
42: ['42', 'ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages']
43: ['43', 'ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference']
44: ['44', 'ACM Special Interest Group on Computer Graphics']
45: ['45', 'ACM Special Interest Group on Data Communication']
46: ['46', 'ACM Special Interest Group on Knowledge Discovery and Data Mining']
47: ['47', 'ACM Special Interest Group on Management Of Data']
48: ['48', 'ACM Symposium on Operating Systems Principles']
49: ['49', 'ACM Symposium on Operating Systems Principles /USENIX Symposium on Operating Systems Design and Implementation']
50: ['50', 'ACM Symposium on Principles of Database Systems']
51: ['51', 'ACM Symposium on the Theory of Computing']
52: ['52', 'ACM Symposium on User Interface Software and Technology']
53: ['53', 'ACM/IEEE International Conference on Multimedia']
54: ['54', 'ACM/IEEE International Conference on Software Engineering']
55: ['55', 'ACM/IEEE Symposium on Logic in Computer Science']
56: ['56', 'ACM/SIGDA International Symposium on FieldProgrammable Gate Arrays']
57: ['57', 'ACM-SIAM Symposium on Discrete Algorithms']
58: ['58', 'Advances in Neural Information Processing Systems']
59: ['59', 'AIAA Guidance Navigation and Control Conference']
60: ['60', 'American Association for Artificial Intelligence']
61: ['61', 'American Control Conference']
62: ['62', 'American Society for Mass Spectrometry']
63: ['63', 'Annual conference of American Psychology Association']
64: ['64', 'Annual Conference of the IEEE Industrial ElectronicsSociety']
65: ['65', 'Annual Conference of the International Speech Communication Association']
66: ['66', 'Annual Conference on Computational Learning Theory']
67: ['67', 'Annual Conference on Neural Information Processing Systems']
68: ['68', 'Annual Conference on Quantum Information Processing']
69: ['69', 'Annual European Safety and Reliability Conference']
70: ['70', 'Annual IEEE Applied Power Electronics Conference and Exposition']
71: ['71', 'Annual IEEE Conference on Computer Communications']
72: ['72', 'Annual International Conference on Computational Molecular Biology']
73: ['73', 'Annual International Conference on Research in Computational Molecular Biology']
74: ['74', 'Annual International Symposium of International Council on Systems Engineering (INCOSE)']
75: ['75', 'Annual Meeting of American Society for Precision Engineering']
76: ['76', 'Annual Meeting of Institute for Operations Research and the Management Sciences']
77: ['77', 'Annual Meeting of the Association for Computational Linguistics']
78: ['78', 'Annual Meeting of the Chinese Society of Micro-Nano Technology and the International Conference']
79: ['79', 'Annual meeting of the Division of Atomic, Molecular, and Optical Physics']
80: ['80', 'Annual Symposium on Computational Geometry']
81: ['81', 'Annual Symposium on Foundations of Computer Science']
82: ['82', 'Applied Human Factors and Ergonomics Conference']
83: ['83', 'APS Annual Meeting']
84: ['84', 'APS Division of Atomic, Molecular and Optical Physics']
85: ['85', 'Architectural Support for Programming Languages and Operating Systems']
86: ['86', 'Asia and South Pacific Design Automation Conference']
87: ['87', 'Asia Communication and Photonics Conference']
88: ['88', 'Asia Oceania Mass Spectrometry Conference']
89: ['89', 'Asian Solid-State Circuits Conference']
90: ['90', 'ASME (American Society of Mechanical Engineering) conference']
91: ['91', 'ASME International Manufacturing Science and Engineering Conference']
92: ['92', 'ASME International Manufacturing Science and Engineering Conference (MSEC) and SME North American Manufacturing Research Conference (NAMRC)']
93: ['93', 'ASME International Mechanical Engineering Congress and Exposition']
94: ['94', 'ASMS Conference on Mass Spectrometry and Allied Topics']
95: ['95', 'Association of European Operational Research Societies']
96: ['96', 'Chinese Economists Society Annual Conference']
97: ['97', 'CIRP Conference on High Performance Cutting']
98: ['98', 'CIRP Conference on Surface Integrity']
99: ['99', 'Computational Learning Theory']
100: ['100', 'Computer Aided Verification']
101: ['101', 'Conference & Expo of International Design Alliance']
102: ['102', 'Conference and Workshop on Neural Information Processing Systems']
103: ['103', 'Conference on Cryptographic Hardware and Embedded Systems']
104: ['104', 'Conference on Empirical Methods in Natural Language Processing']
105: ['105', 'Conference on File and Storage Technologies']
106: ['106', 'Conference on Instrumentation and Measurement Technology']
107: ['107', 'Conference on Laser and Electro Optics']
108: ['108', 'Conference on Lasers and Electro-Optics（America Optical Society）']
109: ['109', 'Conference on Lasers and Electro-Optics-Pacific Rim']
110: ['110', 'Conference on Neural Information Processing Systems']
111: ['111', 'Conference on Object-Oriented Programming Systems, Languages, and Applications']
112: ['112', 'Conference on Optical Fiber Communication']
113: ['113', 'Conference on the Computation of Electromagnetic Fields']
114: ['114', 'Conferences of American Institute of Aeronautics and Astronautics']
115: ['115', 'Deep Brain Stimulation (DBS) Think Tank']
116: ['116', 'Design Automation Conference']
117: ['117', 'Design, Automation and Test in Europe Conference']
118: ['118', 'Electronic Components and Technology Conference（ECTC）']
119: ['119', 'Electronics Packaging Technology Conference (EPTC)']
120: ['120', 'European Conference on Computer Systems']
121: ['121', 'European Conference on Computer Vision']
122: ['122', 'European Cryptology Conference']
123: ['123', 'European Frequency and Time Forum']
124: ['124', 'European Navigation Conference']
125: ['125', 'European Planetary Science Conference']
126: ['126', 'European Rotorcraft Forum']
127: ['127', 'European Solid-State Circuits / Device Research Conference']
128: ['128', 'Frontiers in Optics + Laser Science']
129: ['129', 'General Assembly and Symposiums of International Astronomical Union']
130: ['130', 'General Assembly of CIRP']
131: ['131', 'Healthcare Systems Process Improvement Conference']
132: ['132', 'High-Performance Computer Architecture']
133: ['133', 'Human Computer Interaction International']
134: ['134', 'Human Factors and Ergonomics Society Annual Meeting']
135: ['135', 'IAA (International Academy of Astronautics) conferences']
136: ['136', 'ICSA China Conference']
137: ['137', 'ICSA International Conference']
138: ['138', 'IEEE (Institute of Electrical and Electronics Engineers) conference']
139: ['139', 'IEEE Annual Symposium on Foundations of Computer Science']
140: ['140', 'IEEE Asian Solid-State Circuits Conference']
141: ['141', 'IEEE Biomedical Circuits and Systems Conference']
142: ['142', 'IEEE Conference on Computational Complexity']
143: ['143', 'IEEE Conference on Computer Vision and Pattern Recognition']
144: ['144', 'IEEE Conference on Decision and Control']
145: ['145', 'IEEE Conference on Electrical Insulation and Dielectric Phenomena']
146: ['146', 'IEEE Conference on Electromagnetic Field Computation']
147: ['147', 'IEEE Conference on Energy Internet and Energy System Integration']
148: ['148', 'IEEE Conference on Intelligent Transportation Systems']
149: ['149', 'IEEE Conference on Sensors']
150: ['150', 'IEEE Conference on Systems, Man and Cybernetics']
151: ['151', 'IEEE Custom Integrated Circuits Conference']
152: ['152', 'IEEE Electronic Components and Technology Conference']
153: ['153', 'IEEE Energy Conversion Congress and Exposition']
154: ['154', 'IEEE Global Telecommunications Conference']
155: ['155', 'IEEE Instrumentation Measurement Technology Conference']
156: ['156', 'IEEE Intelligent Vehicles Symposium']
157: ['157', 'IEEE International Conference on Acoustics, Speech and Signal Processing']
158: ['158', 'IEEE international conference on Automatic Face and Gesture Recognition']
159: ['159', 'IEEE International Conference on Automation Science and Engineering']
160: ['160', 'IEEE International Conference on Communications']
161: ['161', 'IEEE International Conference on Computer Communication']
162: ['162', 'IEEE International conference on Computer Vision']
163: ['163', 'IEEE International Conference on Data Engineering']
164: ['164', 'IEEE International Conference on Data Mining']
165: ['165', 'IEEE International Conference on Image Processing']
166: ['166', 'IEEE International Conference on Intelligent Transportation System']
167: ['167', 'IEEE International Conference on Micro Electro Mechanical Systems']
168: ['168', 'IEEE International Conference on Multimedia & Expo']
169: ['169', 'IEEE International Conference on Nanotechnology']
170: ['170', 'IEEE International Conference on Plasma Science']
171: ['171', 'IEEE International Conference on Robotics and Automation']
172: ['172', 'IEEE International Conference on Systems, Man and Cybernetics']
173: ['173', 'IEEE International Conference on Vehicular Electronics and Safety']
174: ['174', 'IEEE International Electron Devices Meeting']
175: ['175', 'IEEE International Frequency Control Symposium']
176: ['176', 'IEEE International Instrumentation & Measurement Technology Conference']
177: ['177', 'IEEE International Microwave Symposium']
178: ['178', 'IEEE International Solid-State Circuits Conference']
