family,load,tag,tau_us,rho,burstLossRate,e2eLoss,deliveredMbps,loopRate,fdlInflight,retxPerFresh,deliveryRatio,wireEfficiency
sync-fdl,21.3us,False,8.600000,0.618103,0.163224,0.423674,3032397525.740470,0.048254,0.196360,,,
sync-fdl,21.3us,False,17.200000,0.638659,0.147623,0.390628,3203500357.110297,0.090337,0.420136,,,
sync-fdl,21.3us,False,34.400000,0.659731,0.135058,0.363560,3348705421.504552,0.152594,0.867182,,,
sync-fdl,21.3us,False,68.800000,0.618255,0.163830,0.424741,3023440286.362764,0.194225,1.635866,,,
sync-fdl,21.3us,False,137.400000,0.585656,0.196096,0.488746,2688771547.485188,0.242188,3.120099,,,
sync-fdl,35.6us,False,8.600000,0.415158,0.107855,0.300178,2200723750.530591,0.032559,0.092412,,,
sync-fdl,35.6us,False,17.200000,0.431985,0.090938,0.258666,2333241320.068591,0.064188,0.218616,,,
sync-fdl,35.6us,False,34.400000,0.455766,0.067832,0.199303,2520056799.662335,0.119842,0.526078,,,
sync-fdl,35.6us,False,68.800000,0.446572,0.083461,0.240314,2390518108.341182,0.153728,0.944856,,,
sync-fdl,35.6us,False,137.400000,0.419945,0.117433,0.323554,2128398887.148988,0.209095,1.892510,,,
sync-nofdl,21.3us,False,None,0.592979,0.187091,0.472279,2776656178.287296,0.000000,0.000000,,,
sync-nofdl,35.6us,False,None,0.400886,0.128837,0.349471,2045713483.642200,0.000000,0.000000,,,
async-fdl,21.3us,False,8.600000,0.462278,0.269792,0.614543,2028122193.989233,0.017540,0.066102,,,
async-fdl,21.3us,True,8.600000,0.566937,0.179435,0.452249,2879555334.007333,0.024662,0.100148,,,
async-fdl,21.3us,False,17.200000,0.474505,0.261339,0.602136,2093412998.304769,0.032635,0.140401,,,
async-fdl,21.3us,True,17.200000,0.579308,0.168296,0.430491,2993216502.483565,0.044287,0.209278,,,
async-fdl,21.3us,False,34.400000,0.504560,0.245871,0.578533,2216562361.128858,0.064186,0.344020,,,
async-fdl,21.3us,True,34.400000,0.592666,0.154651,0.403456,3135120932.146857,0.080068,0.472294,,,
async-fdl,21.3us,False,68.800000,0.550578,0.232172,0.556428,2333584749.620140,0.124617,0.892735,,,
async-fdl,21.3us,True,68.800000,0.616350,0.143347,0.380084,3260253934.008030,0.141797,1.139236,,,
async-fdl,21.3us,False,137.400000,0.466009,0.258824,0.592281,2142301188.214143,0.184478,2.331349,,,
async-fdl,21.3us,True,137.400000,0.614564,0.145796,0.385205,3233066322.742133,0.174021,2.536356,,,
async-fdl,35.6us,False,8.600000,0.339444,0.198023,0.494167,1590689179.127801,0.014065,0.037028,,,
async-fdl,35.6us,True,8.600000,0.398049,0.120765,0.329443,2110481671.188167,0.017456,0.050489,,,
async-fdl,35.6us,False,17.200000,0.348365,0.190134,0.479865,1637035215.587988,0.026392,0.080281,,,
async-fdl,35.6us,True,17.200000,0.407147,0.110487,0.305874,2184220716.124763,0.032219,0.108301,,,
async-fdl,35.6us,False,34.400000,0.364832,0.174239,0.449627,1731719613.038440,0.051731,0.206374,,,
async-fdl,35.6us,True,34.400000,0.421959,0.094157,0.267110,2305775336.153162,0.061072,0.265559,,,
async-fdl,35.6us,False,68.800000,0.401113,0.152918,0.407491,1866160855.516520,0.102739,0.587694,,,
async-fdl,35.6us,True,68.800000,0.449221,0.072692,0.213360,2473879818.442701,0.113576,0.723787,,,
async-fdl,35.6us,False,137.400000,0.389245,0.164374,0.428944,1796024697.704908,0.171351,1.517494,,,
async-fdl,35.6us,True,137.400000,0.463418,0.069883,0.206238,2496603884.867520,0.141203,1.469810,,,
async-nofdl,21.3us,False,None,0.450779,0.280771,0.630451,1944418572.574617,0.000000,0.000000,,,
async-nofdl,21.3us,True,None,0.547809,0.195258,0.481835,2724018844.598303,0.000000,0.000000,,,
async-nofdl,35.6us,False,None,0.331807,0.208111,0.512148,1534145846.044301,0.000000,0.000000,,,
async-nofdl,35.6us,True,None,0.388129,0.134005,0.358873,2017853613.257899,0.000000,0.000000,,,
hotspot,19.5us,False,17.200000,0.805715,0.354199,0.756856,1396050506.756562,0.000000,0.000000,,,
hotspot,19.5us,True,17.200000,0.827375,0.348111,0.756116,1399627639.868459,0.152921,0.709016,,,
hotspot,19.5us,False,34.400000,0.805663,0.354102,0.756758,1396530790.877867,0.000000,0.000000,,,
hotspot,19.5us,True,34.400000,0.809842,0.350378,0.757309,1394858097.118831,0.214476,1.317709,,,
hotspot,19.5us,False,68.800000,0.805973,0.354227,0.756853,1397115282.480245,0.000000,0.000000,,,
hotspot,19.5us,True,68.800000,0.805807,0.353797,0.757052,1395416308.854319,0.224722,2.131782,,,
expR,79.8us,False,None,0.434026,0.134992,0.184184,1145178618.291682,0.000000,0.000000,1.088668,0.815816,0.000000
expR-120ms,79.8us,False,None,0.414973,0.130766,0.198058,1125703332.766779,0.000000,0.000000,0.990089,0.801942,0.000000
