interval,seed,file,busiest_node,port,rho,burstsReceived,lossRate
12us,0,Hotspot-Calib-36.sca,sat1,1,0.945481,1073138,0.399991
12us,1,Hotspot-Calib-37.sca,sat1,1,0.945481,1073018,0.399985
12us,2,Hotspot-Calib-38.sca,sat4,2,0.945481,1073082,0.399971
12us,3,Hotspot-Calib-39.sca,sat1,1,0.945481,1072984,0.399981
15us,0,Hotspot-Calib-32.sca,sat3,1,0.893589,895892,0.377597
15us,1,Hotspot-Calib-33.sca,sat6,3,0.894065,896933,0.377416
15us,2,Hotspot-Calib-34.sca,sat3,1,0.894241,896606,0.377417
15us,3,Hotspot-Calib-35.sca,sat3,1,0.892391,895957,0.377152
18us,0,Hotspot-Calib-28.sca,sat3,1,0.832657,764567,0.360930
18us,1,Hotspot-Calib-29.sca,sat3,1,0.832410,764673,0.361047
18us,2,Hotspot-Calib-30.sca,sat3,1,0.833115,763315,0.360862
21.3us,0,Hotspot-Calib-24.sca,sat3,1,0.777628,660798,0.346501
21.3us,1,Hotspot-Calib-25.sca,sat3,1,0.776060,659577,0.346527
21.3us,2,Hotspot-Calib-26.sca,sat3,1,0.775778,658213,0.346376
21.3us,3,Hotspot-Calib-27.sca,sat3,1,0.776536,660564,0.346443
25us,0,Hotspot-Calib-20.sca,sat3,1,0.724326,572634,0.331625
25us,1,Hotspot-Calib-21.sca,sat3,1,0.725947,574031,0.331325
25us,2,Hotspot-Calib-22.sca,sat3,1,0.724608,573851,0.331299
25us,3,Hotspot-Calib-23.sca,sat3,1,0.726335,573662,0.331690
30us,0,Hotspot-Calib-16.sca,sat3,1,0.669597,488903,0.313719
30us,1,Hotspot-Calib-17.sca,sat3,1,0.672469,489740,0.313687
30us,2,Hotspot-Calib-18.sca,sat3,1,0.671500,488587,0.313594
30us,3,Hotspot-Calib-19.sca,sat3,1,0.668927,488988,0.313431
35.6us,0,Hotspot-Calib-12.sca,sat3,1,0.626180,422647,0.295765
35.6us,1,Hotspot-Calib-13.sca,sat3,1,0.625458,421745,0.295370
35.6us,2,Hotspot-Calib-14.sca,sat3,1,0.624841,422326,0.296058
35.6us,3,Hotspot-Calib-15.sca,sat3,1,0.625651,421813,0.295131
42.6us,0,Hotspot-Calib-10.sca,sat3,1,0.579257,362228,0.275901
42.6us,1,Hotspot-Calib-11.sca,sat3,1,0.577706,361510,0.276324
42.6us,2,Hotspot-Calib-8.sca,sat3,1,0.578252,362356,0.276104
42.6us,3,Hotspot-Calib-9.sca,sat3,1,0.578464,361625,0.276366
50us,0,Hotspot-Calib-4.sca,sat3,1,0.539663,315318,0.257714
50us,1,Hotspot-Calib-5.sca,sat3,1,0.537337,315448,0.258058
50us,2,Hotspot-Calib-6.sca,sat3,1,0.537989,315334,0.257933
50us,3,Hotspot-Calib-7.sca,sat3,1,0.538465,314942,0.257571
60us,0,Hotspot-Calib-0.sca,sat3,1,0.491912,269276,0.237318
60us,1,Hotspot-Calib-1.sca,sat3,1,0.493445,268829,0.235908
60us,2,Hotspot-Calib-2.sca,sat3,1,0.493251,269577,0.236867
60us,3,Hotspot-Calib-3.sca,sat3,1,0.492599,269122,0.237171
